ToolName;ModelName;Strength;TimeSeconds;Size;ErrorType;;;;
kali;BOOLC_35;2;2.05;9;;;;;
kali;BOOLC_36;2;2.18;27;;;;;
kali;BOOLC_37;2;1.98;2;;;;;
kali;BOOLC_38;2;2.04;15;;;;;
kali;BOOLC_39;2;2.06;12;;;;;
kali;BOOLC_4;2;2.17;13;;;;;
kali;BOOLC_40;2;2.17;22;;;;;
kali;BOOLC_41;2;2.2;2;;;;;
kali;BOOLC_42;2;2.15;4;;;;;
kali;BOOLC_43;2;2.28;36;;;;;
kali;BOOLC_44;2;2.23;10;;;;;
kali;BOOLC_45;2;2.18;12;;;;;
kali;BOOLC_46;2;2.16;13;;;;;
kali;BOOLC_47;2;2.44;26;;;;;
kali;BOOLC_48;2;2.19;7;;;;;
kali;BOOLC_49;2;1.98;6;;;;;
kali;BOOLC_5;2;2.2;1;;;;;
kali;BOOLC_6;2;2.22;13;;;;;
kali;BOOLC_7;2;2.18;9;;;;;
kali;BOOLC_8;2;2.03;8;;;;;
kali;BOOLC_9;2;2.27;28;;;;;
kali;MCAC_0;2;2.47;0;Timeout;;;;
kali;MCAC_1;2;2.34;0;Timeout;;;;
kali;MCAC_10;2;53.58;2323;;;;;
kali;MCAC_11;2;3.77;25;;;;;
kali;MCAC_12;2;2.93;96;;;;;
kali;MCAC_13;2;3.73;19;;;;;
kali;MCAC_14;2;6.55;347;;;;;
kali;MCAC_15;2;60.65;88;;;;;
kali;MCAC_16;2;301.0;0;Timeout;;;;
kali;MCAC_17;2;2.13;12;;;;;
kali;MCAC_18;2;2.36;0;Timeout;;;;
kali;MCAC_19;2;3.53;345;;;;;
kali;MCAC_2;2;50.33;2671;;;;;
kali;MCAC_20;2;2.27;2;;;;;
kali;MCAC_21;2;29.51;588;;;;;
kali;MCAC_22;2;21.34;82;;;;;
kali;MCAC_23;2;2.48;2;;;;;
kali;MCAC_24;2;15.62;523;;;;;
kali;MCAC_25;2;117.4;3682;;;;;
kali;MCAC_26;2;30.05;2238;;;;;
kali;MCAC_27;2;2.66;0;Timeout;;;;
kali;MCAC_28;2;2.07;4;;;;;
kali;MCAC_29;2;15.33;72;;;;;
kali;MCAC_3;2;2.45;6;;;;;
kali;MCAC_30;2;140.53;3770;;;;;
kali;MCAC_31;2;269.53;3414;;;;;
kali;MCAC_32;2;4.89;14;;;;;
kali;MCAC_33;2;75.71;2621;;;;;
kali;MCAC_34;2;3.41;0;Timeout;;;;
kali;MCAC_35;2;301.0;0;Timeout;;;;
kali;MCAC_36;2;50.65;2287;;;;;
kali;MCAC_37;2;3.0;6;;;;;
kali;MCAC_38;2;4.2;0;Timeout;;;;
kali;MCAC_39;2;2.29;4;;;;;
kali;MCAC_4;2;20.25;692;;;;;
kali;MCAC_40;2;2.95;44;;;;;
kali;MCAC_41;2;301.0;0;Timeout;;;;
kali;MCAC_42;2;38.51;1333;;;;;
kali;MCAC_43;2;11.62;58;;;;;
kali;MCAC_44;2;2.34;25;;;;;
kali;MCAC_45;2;21.05;736;;;;;
kali;MCAC_46;2;77.3;1443;;;;;
kali;MCAC_47;2;2.12;6;;;;;
kali;MCAC_48;2;98.67;1634;;;;;
kali;MCAC_49;2;3.98;0;Timeout;;;;
