FileName,Strength,SeedSize,UsedSeedSize,TSSize,TSTime,cRnd,cInc,totTuples
UNIFORM_ALL_0,4,132,129,211,33.0,17.0,6.0,2835
UNIFORM_ALL_0,4,133,129,215,38.0,18.0,5.0,2835
UNIFORM_ALL_0,4,134,130,223,34.0,17.0,6.0,2835
UNIFORM_ALL_0,4,135,133,226,42.0,16.0,6.0,2835
UNIFORM_ALL_0,4,136,132,219,34.0,17.0,6.0,2835
UNIFORM_ALL_0,4,137,131,209,35.0,17.0,6.0,2835
UNIFORM_ALL_0,4,138,131,219,35.0,17.0,6.0,2835
UNIFORM_ALL_0,4,139,134,219,33.0,17.0,6.0,2835
UNIFORM_ALL_0,4,140,136,223,33.0,17.0,5.0,2835
UNIFORM_ALL_0,4,141,139,222,35.0,16.0,6.0,2835
UNIFORM_ALL_0,4,142,141,217,34.0,16.0,6.0,2835
UNIFORM_ALL_0,4,143,140,221,33.0,16.0,6.0,2835
UNIFORM_ALL_0,4,144,139,224,36.0,16.0,5.0,2835
UNIFORM_ALL_0,4,145,141,222,36.0,16.0,5.0,2835
UNIFORM_ALL_0,4,146,143,216,34.0,16.0,5.0,2835
UNIFORM_ALL_0,4,147,139,217,32.0,16.0,6.0,2835
UNIFORM_ALL_0,4,148,145,221,34.0,16.0,5.0,2835
UNIFORM_ALL_0,4,149,141,214,34.0,16.0,6.0,2835
UNIFORM_ALL_0,4,150,146,221,32.0,16.0,5.0,2835
UNIFORM_ALL_0,4,151,150,223,30.0,16.0,5.0,2835
UNIFORM_ALL_0,4,152,149,223,34.0,16.0,5.0,2835
UNIFORM_ALL_0,4,153,144,227,35.0,16.0,6.0,2835
UNIFORM_ALL_0,4,154,149,227,36.0,16.0,5.0,2835
UNIFORM_ALL_0,4,155,150,216,30.0,16.0,5.0,2835
UNIFORM_ALL_0,4,156,151,223,34.0,16.0,5.0,2835
UNIFORM_ALL_0,4,157,153,233,38.0,16.0,4.0,2835
UNIFORM_ALL_0,4,158,152,224,31.0,15.0,5.0,2835
UNIFORM_ALL_0,4,159,151,225,35.0,16.0,5.0,2835
UNIFORM_ALL_0,4,160,150,223,34.0,15.0,6.0,2835
UNIFORM_ALL_0,4,161,157,224,34.0,15.0,5.0,2835
UNIFORM_ALL_0,4,162,155,228,34.0,15.0,5.0,2835
UNIFORM_ALL_0,4,163,158,222,30.0,15.0,5.0,2835
UNIFORM_ALL_0,4,164,160,231,34.0,15.0,5.0,2835
UNIFORM_ALL_0,4,165,163,226,38.0,15.0,5.0,2835
UNIFORM_ALL_0,4,166,154,220,34.0,16.0,5.0,2835
UNIFORM_ALL_0,4,167,158,226,33.0,15.0,4.0,2835
UNIFORM_ALL_0,4,168,164,224,31.0,15.0,5.0,2835
UNIFORM_ALL_0,4,169,155,224,35.0,15.0,5.0,2835
UNIFORM_ALL_0,4,170,167,228,32.0,15.0,4.0,2835
UNIFORM_ALL_0,4,171,167,230,35.0,14.0,5.0,2835
UNIFORM_ALL_0,4,172,165,237,37.0,14.0,5.0,2835
UNIFORM_ALL_0,4,173,162,229,35.0,15.0,4.0,2835
UNIFORM_ALL_0,4,174,162,226,34.0,15.0,5.0,2835
UNIFORM_ALL_0,4,175,167,231,35.0,14.0,5.0,2835
UNIFORM_ALL_0,4,176,170,236,34.0,14.0,5.0,2835
UNIFORM_ALL_0,4,177,164,229,38.0,15.0,5.0,2835
UNIFORM_ALL_0,4,178,172,231,29.0,15.0,4.0,2835
UNIFORM_ALL_0,4,179,174,239,33.0,14.0,4.0,2835
UNIFORM_ALL_0,4,180,174,229,36.0,14.0,4.0,2835
UNIFORM_ALL_0,4,181,172,231,32.0,14.0,4.0,2835
UNIFORM_ALL_0,4,182,172,229,33.0,14.0,5.0,2835
UNIFORM_ALL_0,4,183,177,239,36.0,14.0,4.0,2835
UNIFORM_ALL_0,4,184,177,237,40.0,14.0,4.0,2835
UNIFORM_ALL_0,4,185,179,235,42.0,14.0,4.0,2835
UNIFORM_ALL_0,4,186,182,238,38.0,14.0,4.0,2835
UNIFORM_ALL_0,4,187,178,234,37.0,14.0,4.0,2835
UNIFORM_ALL_0,4,188,180,242,34.0,14.0,4.0,2835
UNIFORM_ALL_0,4,189,184,242,41.0,13.0,4.0,2835
UNIFORM_ALL_0,4,190,180,242,38.0,14.0,4.0,2835
UNIFORM_ALL_0,4,191,179,236,36.0,14.0,4.0,2835
UNIFORM_ALL_0,4,192,181,240,38.0,14.0,4.0,2835
UNIFORM_ALL_0,4,193,185,243,43.0,13.0,4.0,2835
UNIFORM_ALL_0,4,194,189,245,33.0,13.0,4.0,2835
UNIFORM_ALL_0,4,195,192,248,48.0,13.0,5.0,2835
UNIFORM_ALL_0,4,196,189,244,37.0,13.0,4.0,2835
UNIFORM_ALL_0,4,197,186,235,44.0,13.0,4.0,2835
UNIFORM_ALL_0,4,198,189,236,35.0,13.0,4.0,2835
UNIFORM_ALL_0,4,199,191,242,36.0,13.0,4.0,2835
UNIFORM_ALL_1,4,0,0,898,40791.0,0.0,798.0,717255
UNIFORM_ALL_1,4,1,1,822,29333.0,8855.0,862.0,717255
UNIFORM_ALL_1,4,2,2,819,28352.0,8847.0,856.0,717255
UNIFORM_ALL_1,4,3,3,826,28652.0,8655.0,839.0,717255
